<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,60,20220119,190000,336.507,342.613,336.11,341.457,5318580,0
TSLA.US,60,20220119,200000,341.457,341.457,336.4,338.167,3571416,0
TSLA.US,60,20220119,210000,338.257,338.767,333.7,335.783,4219884,0
TSLA.US,60,20220119,220000,335.78,337.097,331.667,331.883,6542319,0
TSLA.US,60,20220120,160000,336.577,342.333,334.217,340.143,6654363,0
TSLA.US,60,20220120,170000,340.293,347.22,339.213,346.573,7568706,0
TSLA.US,60,20220120,180000,346.573,346.827,342.74,344.333,4404150,0
TSLA.US,60,20220120,190000,344.383,346,342.993,344.223,2472102,0
TSLA.US,60,20220120,200000,344.1,344.8,341.833,342.517,3273228,0
TSLA.US,60,20220120,210000,342.547,343.997,336.71,336.833,4271889,0
TSLA.US,60,20220120,220000,336.843,338.247,331.333,332.067,8477211,0
TSLA.US,60,20220121,160000,332.113,334.85,322.16,323.248,6281469,0
TSLA.US,60,20220121,170000,323.168,327.887,317.11,324.513,12583434,0
TSLA.US,60,20220121,180000,324.389,328.013,320.177,321.803,6095034,0
TSLA.US,60,20220121,190000,321.57,325.83,318.038,319.72,5408799,0
TSLA.US,60,20220121,200000,319.643,321.667,318.223,318.776,4049511,0
TSLA.US,60,20220121,210000,318.915,320.83,316.33,316.363,4547556,0
TSLA.US,60,20220121,220000,316.41,320.78,313.5,314.633,11018973,0
TSLA.US,60,20220124,160000,301.587,305.303,284.103,288.88,10563009,0
TSLA.US,60,20220124,170000,288.853,300.81,287.213,296.673,11508927,0
TSLA.US,60,20220124,180000,296.667,297.413,286.67,291.247,7773210,0
TSLA.US,60,20220124,190000,291.248,293.983,283.823,293.447,10239687,0
TSLA.US,60,20220124,200000,293.333,301.953,292.103,300.409,10834680,0
TSLA.US,60,20220124,210000,300.51,302.453,291.2,296.613,7144041,0
TSLA.US,60,20220124,220000,296.793,311.171,294.573,310,13631919,0
TSLA.US,60,20220125,160000,304.733,309.62,301.57,306.173,4938105,0
TSLA.US,60,20220125,170000,306.203,310.767,302.593,307.667,7597314,0
TSLA.US,60,20220125,180000,307.667,308.91,301.787,302.423,4840809,0
TSLA.US,60,20220125,190000,302.328,305,301.07,304.043,3309669,0
TSLA.US,60,20220125,200000,304.073,309.96,302.34,309.96,4101906,0
TSLA.US,60,20220125,210000,309.797,317.087,307.533,316.069,7997841,0
TSLA.US,60,20220125,220000,316.09,316.09,305,306.133,9936150,0
TSLA.US,60,20220126,160000,317.477,318.983,313,316.997,5664246,0
TSLA.US,60,20220126,170000,317,321.1,312.85,314.222,6843912,0
TSLA.US,60,20220126,180000,314.163,318.23,312.857,317.66,3604674,0
TSLA.US,60,20220126,190000,317.713,321.43,317.077,320.887,3816798,0
TSLA.US,60,20220126,200000,320.897,321.12,318.033,320.065,3024402,0
TSLA.US,60,20220126,210000,319.94,329.23,315.87,317.667,11106633,0
TSLA.US,60,20220126,220000,317.84,317.93,302,312.47,13671258,0
TSLA.US,60,20220127,160000,311.12,311.797,293.9,295.066,11553609,0
TSLA.US,60,20220127,170000,295.157,298.667,285.967,291.5,14591049,0
TSLA.US,60,20220127,180000,291.5,292.833,287.767,291.1,8881359,0
TSLA.US,60,20220127,190000,291.063,291.443,285.257,288.016,7340742,0
TSLA.US,60,20220127,200000,288,288.867,283.804,285.83,7083315,0
TSLA.US,60,20220127,210000,285.85,289.297,280,281.473,9369972,0
TSLA.US,60,20220127,220000,281.527,283.147,276.333,276.367,13239675,0
TSLA.US,60,20220128,160000,277.187,279.773,264.003,268.363,11335797,0
TSLA.US,60,20220128,170000,268.123,284.333,266.667,283.943,17571432,0
TSLA.US,60,20220128,180000,283.99,285.833,280.357,285.04,9279657,0
TSLA.US,60,20220128,190000,285.043,285.667,279.333,279.924,5502582,0
TSLA.US,60,20220128,200000,279.973,281.413,275.337,277.04,5583333,0
TSLA.US,60,20220128,210000,277.003,278.223,271.067,276.165,7912080,0
TSLA.US,60,20220128,220000,276.133,282.493,274.307,282.117,10376472,0
TSLA.US,60,20220131,160000,290.903,299.25,287.35,297.453,9241209,0
TSLA.US,60,20220131,170000,297.552,307,295.89,306.409,12300777,0
TSLA.US,60,20220131,180000,306.347,308.187,304.033,307.037,7954080,0
TSLA.US,60,20220131,190000,307.058,310.727,304.57,310,5497674,0
TSLA.US,60,20220131,200000,309.997,310.023,306.667,309.727,4318110,0
TSLA.US,60,20220131,210000,309.73,312.303,308.667,311.59,5302776,0
TSLA.US,60,20220131,220000,311.5,312.663,306.153,312.24,12752037,0
TSLA.US,60,20220201,160000,311.737,311.763,303.437,306.397,6997716,0
TSLA.US,60,20220201,170000,306.5,312.433,301.667,312.333,9179775,0
TSLA.US,60,20220201,180000,312.34,314.567,310.667,312.992,5529810,0
TSLA.US,60,20220201,190000,312.967,313.077,307.387,310.49,3780303,0
TSLA.US,60,20220201,200000,310.363,311.317,307.507,308.418,2488143,0
TSLA.US,60,20220201,210000,308.5,310.167,306.093,308.263,3304737,0
TSLA.US,60,20220201,220000,308.31,311.77,308.033,310.417,6383931,0
TSLA.US,60,20220202,160000,309.393,310.5,303.733,306.15,4794186,0
TSLA.US,60,20220202,170000,306.333,309.714,303.833,304.5,5320386,0
TSLA.US,60,20220202,180000,304.399,304.787,296.47,300.38,7282593,0
TSLA.US,60,20220202,190000,300.16,304.363,299.063,303.96,4316523,0
TSLA.US,60,20220202,200000,303.943,304.08,300.607,301.663,2824869,0
TSLA.US,60,20220202,210000,301.563,303.817,300,302.005,3136989,0
TSLA.US,60,20220202,220000,302.003,303.833,300.297,301.883,4549533,0
TSLA.US,60,20220203,160000,294,301.333,293.507,299.083,4606500,0
TSLA.US,60,20220203,170000,299.145,309.937,298.067,308.743,9205728,0
TSLA.US,60,20220203,180000,308.68,312.333,306.833,306.95,6751455,0
TSLA.US,60,20220203,190000,306.93,307.553,302.5,303.862,5465655,0
TSLA.US,60,20220203,200000,303.72,306.52,301.511,303.067,3726498,0
TSLA.US,60,20220203,210000,302.943,304.383,298.71,300.99,3883491,0
TSLA.US,60,20220203,220000,300.987,303.033,295.627,297.047,7468506,0
TSLA.US,60,20220204,160000,299.073,302.443,293.723,300.861,5104485,0
TSLA.US,60,20220204,170000,301.08,304.433,298.927,300.133,6863808,0
TSLA.US,60,20220204,180000,300.12,303.167,297.52,301.443,4178031,0
TSLA.US,60,20220204,190000,301.663,306.663,300.787,306.552,4501092,0
TSLA.US,60,20220204,200000,306.663,310,306.663,308.893,5871855,0
TSLA.US,60,20220204,210000,308.972,311.5,307.097,310.502,5181342,0
TSLA.US,60,20220204,220000,310.583,312.167,307.603,307.773,7329912,0
TSLA.US,60,20220207,160000,307.93,315.85,306.113,314.12,5901729,0
TSLA.US,60,20220207,170000,314.181,314.323,305.03,308.528,7317504,0
TSLA.US,60,20220207,180000,308.412,309.52,302.463,304.526,4555116,0
TSLA.US,60,20220207,190000,304.533,305.823,302.63,305.077,2982072,0
TSLA.US,60,20220207,200000,304.98,307.083,304.123,305.7,3077142,0
TSLA.US,60,20220207,210000,305.71,307.823,303.753,306.55,2510997,0
TSLA.US,60,20220207,220000,306.387,308.86,300.903,302.447,6333156,0
TSLA.US,60,20220208,160000,301.843,305,298.267,302.433,4322844,0
TSLA.US,60,20220208,170000,302.35,305.5,299.093,304.473,5446242,0
TSLA.US,60,20220208,180000,304.547,306.957,304.337,306.235,3651726,0
TSLA.US,60,20220208,190000,306.258,308.44,304.833,307.077,2909307,0
TSLA.US,60,20220208,200000,307.1,308.763,306.007,307.1,2637381,0
TSLA.US,60,20220208,210000,307.147,308.453,305,305.48,3144045,0
TSLA.US,60,20220208,220000,305.487,308.37,304.927,307.333,5401839,0
TSLA.US,60,20220209,160000,311.667,315.423,309.847,310.467,6023064,0
TSLA.US,60,20220209,170000,310.34,311.88,306.8,309.807,6468768,0
TSLA.US,60,20220209,180000,309.823,311.697,309.518,310,3494133,0
TSLA.US,60,20220209,190000,310.003,312.73,308.77,312.585,2940963,0
TSLA.US,60,20220209,200000,312.63,313.033,310.953,311.683,2232147,0
TSLA.US,60,20220209,210000,311.767,312.2,310.003,310.023,1937481,0
TSLA.US,60,20220209,220000,310.096,312,308.983,310.667,5467152,0
